"From","To","Sum"
"United Kingdom","Belarus",1
"Albania","Belgium",8
"Andorra","Belgium",1
"Armenia","Belgium",8
"Austria","Belgium",64
"Azerbaijan","Belgium",3
"Belarus","Belgium",12
"Bosnia & Herzegovina","Belgium",10
"Bulgaria","Belgium",16
"Croatia","Belgium",6
"Cyprus","Belgium",54
"Czech Republic","Belgium",11
"Denmark","Belgium",72
"Estonia","Belgium",40
"F.Y.R. Macedonia/North Macedonia","Belgium",16
"Finland","Belgium",95
"France","Belgium",135
"Georgia","Belgium",28
"Germany","Belgium",103
"Greece","Belgium",72
"Hungary","Belgium",19
"Iceland","Belgium",42
"Ireland","Belgium",132
"Israel","Belgium",79
"Italy","Belgium",68
"Latvia","Belgium",32
"Lithuania","Belgium",39
"Luxembourg","Belgium",65
"Malta","Belgium",20
"Moldova","Belgium",10
"Monaco","Belgium",37
"Montenegro","Belgium",9
"Netherlands","Belgium",167
"Norway","Belgium",84
"Poland","Belgium",59
"Portugal","Belgium",123
"Romania","Belgium",21
"Russia","Belgium",36
"San Marino","Belgium",25
"Serbia","Belgium",20
"Slovakia","Belgium",17
"Slovenia","Belgium",38
"Spain","Belgium",116
"Sweden","Belgium",74
"Switzerland","Belgium",76
"Turkey","Belgium",63
"Ukraine","Belgium",28
"United Kingdom","Belgium",124
"Yugoslavia","Belgium",42
"Albania","Bosnia & Herzegovina",48
"Armenia","Bosnia & Herzegovina",6
"Austria","Bosnia & Herzegovina",74
"Azerbaijan","Bosnia & Herzegovina",5
"Belarus","Bosnia & Herzegovina",4
"Belgium","Bosnia & Herzegovina",8
"Bulgaria","Bosnia & Herzegovina",13
"Croatia","Bosnia & Herzegovina",144
"Cyprus","Bosnia & Herzegovina",2
"Czech Republic","Bosnia & Herzegovina",5
"Denmark","Bosnia & Herzegovina",49
"F.Y.R. Macedonia/North Macedonia","Bosnia & Herzegovina",66
"Finland","Bosnia & Herzegovina",25
"France","Bosnia & Herzegovina",39
"Germany","Bosnia & Herzegovina",35
"Greece","Bosnia & Herzegovina",9
"Hungary","Bosnia & Herzegovina",1
"Iceland","Bosnia & Herzegovina",8
"Ireland","Bosnia & Herzegovina",8
"Israel","Bosnia & Herzegovina",2
"Italy","Bosnia & Herzegovina",7
"Lithuania","Bosnia & Herzegovina",4
"Malta","Bosnia & Herzegovina",18
"Moldova","Bosnia & Herzegovina",5
"Monaco","Bosnia & Herzegovina",16
"Montenegro","Bosnia & Herzegovina",35
"Netherlands","Bosnia & Herzegovina",45
"Norway","Bosnia & Herzegovina",52
"Poland","Bosnia & Herzegovina",9
"Portugal","Bosnia & Herzegovina",2
"Romania","Bosnia & Herzegovina",7
"Russia","Bosnia & Herzegovina",6
"Serbia","Bosnia & Herzegovina",61
"Serbia & Montenegro","Bosnia & Herzegovina",22
"Slovakia","Bosnia & Herzegovina",18
"Slovenia","Bosnia & Herzegovina",100
"Spain","Bosnia & Herzegovina",11
"Sweden","Bosnia & Herzegovina",74
"Switzerland","Bosnia & Herzegovina",56
"Turkey","Bosnia & Herzegovina",129
"Ukraine","Bosnia & Herzegovina",10
"United Kingdom","Bosnia & Herzegovina",4
"Albania","Bulgaria",22
"Armenia","Bulgaria",11
"Austria","Bulgaria",27
"Azerbaijan","Bulgaria",16
"Belarus","Bulgaria",13
"Belgium","Bulgaria",26
"Bosnia & Herzegovina","Bulgaria",9
"Croatia","Bulgaria",23
"Cyprus","Bulgaria",22
"Czech Republic","Bulgaria",17
"Denmark","Bulgaria",17
"Estonia","Bulgaria",26
"F.Y.R. Macedonia/North Macedonia","Bulgaria",30
"Finland","Bulgaria",31
"France","Bulgaria",20
"Georgia","Bulgaria",16
"Germany","Bulgaria",12
"Greece","Bulgaria",22
"Hungary","Bulgaria",20
"Iceland","Bulgaria",14
"Ireland","Bulgaria",31
"Israel","Bulgaria",16
"Italy","Bulgaria",2
"Latvia","Bulgaria",16
"Lithuania","Bulgaria",11
"Malta","Bulgaria",27
"Moldova","Bulgaria",33
"Montenegro","Bulgaria",9
"Netherlands","Bulgaria",10
"Norway","Bulgaria",26
"Poland","Bulgaria",11
"Portugal","Bulgaria",25
"Romania","Bulgaria",17
"Russia","Bulgaria",10
"San Marino","Bulgaria",5
"Serbia","Bulgaria",22
"Slovenia","Bulgaria",25
"Spain","Bulgaria",20
"Sweden","Bulgaria",13
"Switzerland","Bulgaria",21
"Turkey","Bulgaria",6
"Ukraine","Bulgaria",4
"United Kingdom","Bulgaria",30
"Albania","Croatia",2
"Armenia","Croatia",2
"Austria","Croatia",42
"Azerbaijan","Croatia",6
"Belarus","Croatia",5
"Belgium","Croatia",18
"Bosnia & Herzegovina","Croatia",105
"Bulgaria","Croatia",2
"Cyprus","Croatia",33
"Czech Republic","Croatia",8
"Estonia","Croatia",14
"F.Y.R. Macedonia/North Macedonia","Croatia",62
"Finland","Croatia",11
"France","Croatia",23
"Georgia","Croatia",3
"Germany","Croatia",43
"Greece","Croatia",31
"Hungary","Croatia",7
"Iceland","Croatia",28
"Ireland","Croatia",24
"Israel","Croatia",30
"Latvia","Croatia",12
"Lithuania","Croatia",12
"Malta","Croatia",68
"Moldova","Croatia",3
"Monaco","Croatia",11
"Montenegro","Croatia",15
"Netherlands","Croatia",12
"Norway","Croatia",26
"Poland","Croatia",20
"Portugal","Croatia",33
"Romania","Croatia",17
"Russia","Croatia",17
"Serbia","Croatia",16
"Serbia & Montenegro","Croatia",25
"Slovakia","Croatia",27
"Slovenia","Croatia",105
"Spain","Croatia",33
"Sweden","Croatia",10
"Switzerland","Croatia",40
"Turkey","Croatia",50
"Ukraine","Croatia",23
"United Kingdom","Croatia",16
"Albania","Cyprus",41
"Andorra","Cyprus",4
"Armenia","Cyprus",25
"Austria","Cyprus",17
"Azerbaijan","Cyprus",9
"Belarus","Cyprus",28
"Belgium","Cyprus",47
"Bulgaria","Cyprus",17
"Croatia","Cyprus",39
"Denmark","Cyprus",65
"Estonia","Cyprus",24
"F.Y.R. Macedonia/North Macedonia","Cyprus",17
"Finland","Cyprus",67
"France","Cyprus",36
"Georgia","Cyprus",13
"Germany","Cyprus",41
"Greece","Cyprus",275
"Hungary","Cyprus",13
"Iceland","Cyprus",58
"Ireland","Cyprus",60
"Israel","Cyprus",52
"Italy","Cyprus",26
"Latvia","Cyprus",18
"Lithuania","Cyprus",12
"Luxembourg","Cyprus",8
"Malta","Cyprus",93
"Moldova","Cyprus",13
"Monaco","Cyprus",2
"Montenegro","Cyprus",6
"Netherlands","Cyprus",55
"Norway","Cyprus",63
"Poland","Cyprus",20
"Portugal","Cyprus",35
"Romania","Cyprus",29
"Russia","Cyprus",42
"San Marino","Cyprus",10
"Serbia","Cyprus",8
"Serbia & Montenegro","Cyprus",4
"Slovakia","Cyprus",17
"Slovenia","Cyprus",22
"Spain","Cyprus",70
"Sweden","Cyprus",66
"Switzerland","Cyprus",45
"Turkey","Cyprus",1
"Ukraine","Cyprus",4
"United Kingdom","Cyprus",78
"Yugoslavia","Cyprus",52
"Albania","Czech Republic",1
"Armenia","Czech Republic",10
"Austria","Czech Republic",15
"Belarus","Czech Republic",6
"Belgium","Czech Republic",18
"Bosnia & Herzegovina","Czech Republic",6
"Bulgaria","Czech Republic",8
"Croatia","Czech Republic",21
"Cyprus","Czech Republic",6
"Estonia","Czech Republic",8
"F.Y.R. Macedonia/North Macedonia","Czech Republic",4
"Finland","Czech Republic",15
"France","Czech Republic",13
"Georgia","Czech Republic",12
"Germany","Czech Republic",5
"Greece","Czech Republic",2
"Hungary","Czech Republic",14
"Iceland","Czech Republic",20
"Ireland","Czech Republic",12
"Israel","Czech Republic",7
"Italy","Czech Republic",11
"Latvia","Czech Republic",3
"Lithuania","Czech Republic",7
"Malta","Czech Republic",8
"Moldova","Czech Republic",8
"Montenegro","Czech Republic",1
"Netherlands","Czech Republic",12
"Norway","Czech Republic",16
"Poland","Czech Republic",4
"Portugal","Czech Republic",17
"Romania","Czech Republic",8
"Serbia","Czech Republic",8
"Slovenia","Czech Republic",21
"Spain","Czech Republic",10
"Sweden","Czech Republic",12
"Switzerland","Czech Republic",12
"Ukraine","Czech Republic",12
"United Kingdom","Czech Republic",1
"Albania","Denmark",3
"Andorra","Denmark",8
"Armenia","Denmark",10
"Austria","Denmark",81
"Azerbaijan","Denmark",9
"Belarus","Denmark",8
"Belgium","Denmark",85
"Bosnia & Herzegovina","Denmark",8
"Bulgaria","Denmark",9
"Croatia","Denmark",27
"Cyprus","Denmark",49
"Czech Republic","Denmark",8
"Estonia","Denmark",67
"F.Y.R. Macedonia/North Macedonia","Denmark",21
"Finland","Denmark",87
"France","Denmark",105
"Georgia","Denmark",15
"Germany","Denmark",112
"Greece","Denmark",39
"Hungary","Denmark",47
"Iceland","Denmark",182
"Ireland","Denmark",125
"Israel","Denmark",104
"Italy","Denmark",62
"Latvia","Denmark",65
"Lithuania","Denmark",21
"Luxembourg","Denmark",37
"Malta","Denmark",51
"Moldova","Denmark",15
"Monaco","Denmark",14
"Montenegro","Denmark",19
"Netherlands","Denmark",129
"Norway","Denmark",206
"Poland","Denmark",49
"Portugal","Denmark",61
"Romania","Denmark",34
"Russia","Denmark",27
"San Marino","Denmark",7
"Serbia","Denmark",15
"Slovakia","Denmark",13
"Slovenia","Denmark",71
"Spain","Denmark",83
"Sweden","Denmark",195
"Switzerland","Denmark",37
"Turkey","Denmark",25
"Ukraine","Denmark",13
"United Kingdom","Denmark",127
"Yugoslavia","Denmark",7
"Albania","Estonia",12
"Armenia","Estonia",3
"Austria","Estonia",28
"Azerbaijan","Estonia",12
"Belarus","Estonia",15
"Belgium","Estonia",14
"Bosnia & Herzegovina","Estonia",18
"Croatia","Estonia",23
"Cyprus","Estonia",20
"Czech Republic","Estonia",11
"Denmark","Estonia",54
"F.Y.R. Macedonia/North Macedonia","Estonia",20
"Finland","Estonia",87
"France","Estonia",31
"Georgia","Estonia",17
"Germany","Estonia",51
"Greece","Estonia",22
"Hungary","Estonia",21
"Iceland","Estonia",60
"Ireland","Estonia",68
"Israel","Estonia",36
"Italy","Estonia",29
"Latvia","Estonia",97
"Lithuania","Estonia",61
"Malta","Estonia",36
"Moldova","Estonia",39
"Montenegro","Estonia",6
"Netherlands","Estonia",44
"Norway","Estonia",39
"Poland","Estonia",55
"Portugal","Estonia",36
"Romania","Estonia",20
"Russia","Estonia",38
"San Marino","Estonia",15
"Serbia","Estonia",21
"Slovakia","Estonia",30
"Slovenia","Estonia",54
"Spain","Estonia",36
"Sweden","Estonia",79
"Switzerland","Estonia",20
"Turkey","Estonia",22
"Ukraine","Estonia",13
"United Kingdom","Estonia",70
"Albania","F.Y.R. Macedonia/North Macedonia",42
"Armenia","F.Y.R. Macedonia/North Macedonia",17
"Austria","F.Y.R. Macedonia/North Macedonia",13
"Azerbaijan","F.Y.R. Macedonia/North Macedonia",8
"Belarus","F.Y.R. Macedonia/North Macedonia",12
"Bosnia & Herzegovina","F.Y.R. Macedonia/North Macedonia",43
"Bulgaria","F.Y.R. Macedonia/North Macedonia",25
"Croatia","F.Y.R. Macedonia/North Macedonia",67
"Cyprus","F.Y.R. Macedonia/North Macedonia",5
"Czech Republic","F.Y.R. Macedonia/North Macedonia",12
"Denmark","F.Y.R. Macedonia/North Macedonia",10
"Finland","F.Y.R. Macedonia/North Macedonia",8
"France","F.Y.R. Macedonia/North Macedonia",7
"Georgia","F.Y.R. Macedonia/North Macedonia",1
"Germany","F.Y.R. Macedonia/North Macedonia",7
"Greece","F.Y.R. Macedonia/North Macedonia",1
"Hungary","F.Y.R. Macedonia/North Macedonia",10
"Iceland","F.Y.R. Macedonia/North Macedonia",8
"Ireland","F.Y.R. Macedonia/North Macedonia",5
"Italy","F.Y.R. Macedonia/North Macedonia",11
"Latvia","F.Y.R. Macedonia/North Macedonia",8
"Malta","F.Y.R. Macedonia/North Macedonia",9
"Moldova","F.Y.R. Macedonia/North Macedonia",12
"Monaco","F.Y.R. Macedonia/North Macedonia",1
"Montenegro","F.Y.R. Macedonia/North Macedonia",25
"Netherlands","F.Y.R. Macedonia/North Macedonia",3
"Norway","F.Y.R. Macedonia/North Macedonia",10
"Poland","F.Y.R. Macedonia/North Macedonia",8
"Portugal","F.Y.R. Macedonia/North Macedonia",5
"Romania","F.Y.R. Macedonia/North Macedonia",32
"Russia","F.Y.R. Macedonia/North Macedonia",11
"San Marino","F.Y.R. Macedonia/North Macedonia",1
"Serbia","F.Y.R. Macedonia/North Macedonia",34
"Serbia & Montenegro","F.Y.R. Macedonia/North Macedonia",27
"Slovakia","F.Y.R. Macedonia/North Macedonia",4
"Slovenia","F.Y.R. Macedonia/North Macedonia",40
"Switzerland","F.Y.R. Macedonia/North Macedonia",25
"Turkey","F.Y.R. Macedonia/North Macedonia",24
"Ukraine","F.Y.R. Macedonia/North Macedonia",6
"United Kingdom","F.Y.R. Macedonia/North Macedonia",12
"Albania","Finland",3
"Andorra","Finland",21
"Armenia","Finland",8
"Austria","Finland",43
"Azerbaijan","Finland",3
"Belarus","Finland",8
"Belgium","Finland",59
"Bosnia & Herzegovina","Finland",11
"Bulgaria","Finland",9
"Croatia","Finland",17
"Cyprus","Finland",29
"Czech Republic","Finland",9
"Denmark","Finland",59
"Estonia","Finland",91
"F.Y.R. Macedonia/North Macedonia","Finland",13
"France","Finland",58
"Georgia","Finland",1
"Germany","Finland",68
"Greece","Finland",59
"Hungary","Finland",6
"Iceland","Finland",93
"Ireland","Finland",82
"Israel","Finland",80
"Italy","Finland",41
"Latvia","Finland",16
"Lithuania","Finland",19
"Luxembourg","Finland",36
"Malta","Finland",29
"Moldova","Finland",6
"Monaco","Finland",29
"Netherlands","Finland",68
"Norway","Finland",127
"Poland","Finland",24
"Portugal","Finland",33
"Romania","Finland",16
"Russia","Finland",8
"San Marino","Finland",7
"Serbia","Finland",23
"Serbia & Montenegro","Finland",7
"Slovenia","Finland",12
"Spain","Finland",52
"Sweden","Finland",135
"Switzerland","Finland",68
"Turkey","Finland",33
"Ukraine","Finland",7
"United Kingdom","Finland",78
"Yugoslavia","Finland",39
"Albania","France",45
"Andorra","France",26
"Armenia","France",63
"Austria","France",155
"Azerbaijan","France",5
"Belarus","France",7
"Belgium","France",158
"Bosnia & Herzegovina","France",55
"Bulgaria","France",12
"Croatia","France",49
"Cyprus","France",96
"Czech Republic","France",17
"Denmark","France",93
"Estonia","France",57
"F.Y.R. Macedonia/North Macedonia","France",16
"Finland","France",141
"Georgia","France",12
"Germany","France",171
"Greece","France",142
"Hungary","France",12
"Iceland","France",98
"Ireland","France",172
"Israel","France",141
"Italy","France",142
"Latvia","France",34
"Lithuania","France",61
"Luxembourg","France",121
"Malta","France",41
"Moldova","France",6
"Monaco","France",101
"Montenegro","France",9
"Netherlands","France",173
"Norway","France",169
"Poland","France",46
"Portugal","France",142
"Romania","France",14
"Russia","France",57
"San Marino","France",24
"Serbia","France",24
"Slovenia","France",40
"Spain","France",144
"Sweden","France",159
"Switzerland","France",190
"Turkey","France",38
"Ukraine","France",35
"United Kingdom","France",138
"Yugoslavia","France",88
"Armenia","Georgia",67
"Azerbaijan","Georgia",42
"Belarus","Georgia",34
"Belgium","Georgia",18
"Bosnia & Herzegovina","Georgia",5
"Bulgaria","Georgia",10
"Croatia","Georgia",9
"Cyprus","Georgia",13
"Czech Republic","Georgia",9
"Estonia","Georgia",22
"F.Y.R. Macedonia/North Macedonia","Georgia",5
"Finland","Georgia",7
"Germany","Georgia",8
"Greece","Georgia",32
"Hungary","Georgia",10
"Iceland","Georgia",2
"Ireland","Georgia",6
"Israel","Georgia",15
"Italy","Georgia",3
"Latvia","Georgia",14
"Lithuania","Georgia",65
"Malta","Georgia",5
"Moldova","Georgia",27
"Montenegro","Georgia",2
"Netherlands","Georgia",2
"Norway","Georgia",1
"Poland","Georgia",24
"Portugal","Georgia",1
"Russia","Georgia",45
"San Marino","Georgia",13
"Slovenia","Georgia",3
"Spain","Georgia",1
"Sweden","Georgia",6
"Switzerland","Georgia",1
"Turkey","Georgia",22
"Ukraine","Georgia",45
"United Kingdom","Georgia",12
"Albania","Germany",41
"Andorra","Germany",5
"Armenia","Germany",11
"Austria","Germany",138
"Azerbaijan","Germany",3
"Belarus","Germany",8
"Belgium","Germany",167
"Bosnia & Herzegovina","Germany",33
"Bulgaria","Germany",21
"Croatia","Germany",32
"Cyprus","Germany",52
"Czech Republic","Germany",1
"Denmark","Germany",181
"Estonia","Germany",48
"F.Y.R. Macedonia/North Macedonia","Germany",11
"Finland","Germany",95
"France","Germany",154
"Georgia","Germany",15
"Greece","Germany",35
"Hungary","Germany",23
"Iceland","Germany",69
"Ireland","Germany",160
"Israel","Germany",80
"Italy","Germany",104
"Latvia","Germany",44
"Lithuania","Germany",30
"Luxembourg","Germany",87
"Malta","Germany",37
"Moldova","Germany",6
"Monaco","Germany",60
"Netherlands","Germany",155
"Norway","Germany",114
"Poland","Germany",63
"Portugal","Germany",177
"Romania","Germany",34
"Russia","Germany",38
"San Marino","Germany",10
"Serbia","Germany",18
"Slovakia","Germany",19
"Slovenia","Germany",38
"Spain","Germany",231
"Sweden","Germany",145
"Switzerland","Germany",170
"Turkey","Germany",86
"Ukraine","Germany",10
"United Kingdom","Germany",168
"Yugoslavia","Germany",52
"Albania","Greece",130
"Andorra","Greece",21
"Armenia","Greece",76
"Austria","Greece",48
"Azerbaijan","Greece",51
"Belarus","Greece",33
"Belgium","Greece",99
"Bosnia & Herzegovina","Greece",42
"Bulgaria","Greece",107
"Croatia","Greece",52
"Cyprus","Greece",348
"Czech Republic","Greece",11
"Denmark","Greece",45
"Estonia","Greece",18
"F.Y.R. Macedonia/North Macedonia","Greece",34
"Finland","Greece",62
"France","Greece",109
"Georgia","Greece",22
"Germany","Greece",104
"Hungary","Greece",44
"Iceland","Greece",40
"Ireland","Greece",34
"Israel","Greece",88
"Italy","Greece",56
"Latvia","Greece",17
"Lithuania","Greece",19
"Luxembourg","Greece",29
"Malta","Greece",97
"Moldova","Greece",30
"Monaco","Greece",27
"Montenegro","Greece",28
"Netherlands","Greece",105
"Norway","Greece",76
"Poland","Greece",31
"Portugal","Greece",74
"Romania","Greece",108
"Russia","Greece",76
"San Marino","Greece",58
"Serbia","Greece",38
"Serbia & Montenegro","Greece",25
"Slovakia","Greece",18
"Slovenia","Greece",35
"Spain","Greece",130
"Sweden","Greece",66
"Switzerland","Greece",92
"Turkey","Greece",65
"Ukraine","Greece",28
"United Kingdom","Greece",124
"Yugoslavia","Greece",17
"Albania","Hungary",17
"Andorra","Hungary",12
"Austria","Hungary",24
"Azerbaijan","Hungary",22
"Belarus","Hungary",7
"Belgium","Hungary",14
"Bosnia & Herzegovina","Hungary",4
"Bulgaria","Hungary",11
"Croatia","Hungary",38
"Cyprus","Hungary",15
"Czech Republic","Hungary",13
"Denmark","Hungary",11
"Estonia","Hungary",36
"F.Y.R. Macedonia/North Macedonia","Hungary",11
"Finland","Hungary",49
"France","Hungary",19
"Georgia","Hungary",5
"Germany","Hungary",28
"Greece","Hungary",19
"Iceland","Hungary",44
"Ireland","Hungary",22
"Israel","Hungary",18
"Italy","Hungary",3
"Latvia","Hungary",9
"Lithuania","Hungary",11
"Malta","Hungary",6
"Moldova","Hungary",6
"Montenegro","Hungary",19
"Netherlands","Hungary",25
"Norway","Hungary",20
"Poland","Hungary",32
"Portugal","Hungary",11
"Romania","Hungary",47
"Russia","Hungary",15
"San Marino","Hungary",19
"Serbia","Hungary",34
"Serbia & Montenegro","Hungary",6
"Slovakia","Hungary",8
"Slovenia","Hungary",8
"Spain","Hungary",24
"Sweden","Hungary",35
"Switzerland","Hungary",21
"Turkey","Hungary",10
"Ukraine","Hungary",19
"United Kingdom","Hungary",12
"Albania","Iceland",6
"Andorra","Iceland",8
"Armenia","Iceland",5
"Austria","Iceland",49
"Belarus","Iceland",4
"Belgium","Iceland",50
"Bosnia & Herzegovina","Iceland",1
"Bulgaria","Iceland",5
"Croatia","Iceland",23
"Cyprus","Iceland",29
"Czech Republic","Iceland",14
"Denmark","Iceland",113
"Estonia","Iceland",59
"F.Y.R. Macedonia/North Macedonia","Iceland",8
"Finland","Iceland",60
"France","Iceland",24
"Georgia","Iceland",6
"Germany","Iceland",52
"Greece","Iceland",29
"Hungary","Iceland",36
"Ireland","Iceland",62
"Israel","Iceland",43
"Italy","Iceland",36
"Latvia","Iceland",30
"Lithuania","Iceland",31
"Luxembourg","Iceland",13
"Malta","Iceland",46
"Moldova","Iceland",8
"Monaco","Iceland",5
"Montenegro","Iceland",5
"Netherlands","Iceland",54
"Norway","Iceland",110
"Poland","Iceland",26
"Portugal","Iceland",72
"Romania","Iceland",10
"Russia","Iceland",12
"San Marino","Iceland",14
"Serbia","Iceland",7
"Slovakia","Iceland",12
"Slovenia","Iceland",38
"Spain","Iceland",59
"Sweden","Iceland",119
"Switzerland","Iceland",42
"Turkey","Iceland",23
"Ukraine","Iceland",8
"United Kingdom","Iceland",82
"Yugoslavia","Iceland",4
"Albania","Ireland",5
"Andorra","Ireland",4
"Armenia","Ireland",3
"Austria","Ireland",168
"Azerbaijan","Ireland",1
"Belarus","Ireland",1
"Belgium","Ireland",160
"Bosnia & Herzegovina","Ireland",45
"Bulgaria","Ireland",4
"Croatia","Ireland",44
"Cyprus","Ireland",92
"Czech Republic","Ireland",10
"Denmark","Ireland",132
"Estonia","Ireland",44
"F.Y.R. Macedonia/North Macedonia","Ireland",7
"Finland","Ireland",121
"France","Ireland",120
"Germany","Ireland",157
"Greece","Ireland",99
"Hungary","Ireland",27
"Iceland","Ireland",58
"Israel","Ireland",68
"Italy","Ireland",118
"Latvia","Ireland",21
"Lithuania","Ireland",32
"Luxembourg","Ireland",116
"Malta","Ireland",86
"Monaco","Ireland",44
"Netherlands","Ireland",149
"Norway","Ireland",170
"Poland","Ireland",37
"Portugal","Ireland",128
"Romania","Ireland",20
"Russia","Ireland",22
"San Marino","Ireland",1
"Slovakia","Ireland",25
"Slovenia","Ireland",34
"Spain","Ireland",151
"Sweden","Ireland",227
"Switzerland","Ireland",182
"Turkey","Ireland",119
"Ukraine","Ireland",3
"United Kingdom","Ireland",243
"Yugoslavia","Ireland",61
"Albania","Israel",30
"Andorra","Israel",15
"Armenia","Israel",26
